date,agent_id,agent_name,team,scheduled_hours,worked_hours,adherence_percent,occupancy_percent,absent_flag,calls_offered,calls_handled,calls_abandoned,aht_seconds,acw_seconds,hold_seconds,asa_seconds,service_level_percent,chats_offered,chats_handled,chat_duration_seconds,chat_sla_percent,chat_transfers,tickets_received,tickets_resolved,backlog_start,backlog_end,ticket_sla_percent,fcr_percent
2024-01-01,Agent_019,Agent_019,Tech Support,6.0,5.85,0.9369,0.7367,0,40,35,4,308,37,51,14,0.8884,11,10,447,0.5943,0,12,9,13,16,0.8898,0.9295
2024-01-01,Agent_020,Agent_020,Tech Support,8.0,0.0,0.75,0.55,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0.0
2024-01-02,Agent_001,Agent_001,Support A,6.0,6.08,0.8792,0.9291,0,43,37,6,306,48,46,5,0.9254,8,7,473,0.55,0,12,9,1,4,0.99,0.7287
2024-01-02,Agent_002,Agent_002,Support A,8.0,0.0,0.75,0.55,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0.0
2024-01-02,Agent_003,Agent_003,Support A,6.0,6.01,0.9564,0.7928,0,67,63,2,359,33,63,15,0.828,14,13,404,0.55,1,13,10,2,5,0.8957,0.8439
2024-01-02,Agent_004,Agent_004,Support A,8.0,8.02,0.8915,0.8753,0,61,53,7,282,17,74,41,0.5893,23,20,498,0.633,0,20,19,8,9,0.9581,0.7457
2024-01-02,Agent_005,Agent_005,Support A,7.0,6.41,0.8678,0.8065,0,51,48,2,334,63,39,20,0.7345,18,17,469,0.6133,4,23,20,15,18,0.7834,0.7187
2024-01-02,Agent_006,Agent_006,Support B,9.0,8.94,0.9842,0.8769,0,79,70,9,330,23,65,17,0.7712,16,15,608,0.55,1,21,19,7,9,0.9108,0.8051
2024-01-02,Agent_007,Agent_007,Support B,8.0,8.12,0.9204,0.8863,0,77,70,6,317,44,24,33,0.7126,28,26,431,0.55,2,19,20,11,10,0.9116,0.9082
2024-01-02,Agent_008,Agent_008,Support B,8.0,7.23,0.9542,0.7859,0,73,66,5,250,25,48,29,0.7709,18,17,494,0.618,3,18,18,27,27,0.9429,0.8968
2024-01-02,Agent_009,Agent_009,Support B,7.0,6.67,0.9432,0.7429,0,24,22,2,305,49,89,35,0.7765,12,11,323,0.6816,2,16,13,29,32,0.9505,0.8766
2024-01-02,Agent_010,Agent_010,Support B,8.0,7.37,0.9603,0.7668,0,23,22,0,299,61,43,19,0.9003,23,20,597,0.55,0,5,4,2,3,0.8833,0.9345
2024-01-02,Agent_011,Agent_011,Billing,8.0,7.83,0.9238,0.8102,0,74,69,4,321,38,70,11,0.804,13,12,501,0.5838,2,23,19,5,9,0.9481,0.8269
2024-01-02,Agent_012,Agent_012,Billing,7.0,6.49,1.0059,0.9545,0,26,23,2,354,78,42,27,0.6616,16,14,418,0.6472,1,8,8,6,6,0.8421,0.877
2024-01-02,Agent_013,Agent_013,Billing,7.0,6.97,0.9286,0.6213,0,73,66,6,392,64,43,17,0.8261,13,11,544,0.6374,2,13,10,19,22,0.9757,0.8298
2024-01-02,Agent_014,Agent_014,Billing,7.0,6.87,0.9987,0.9121,0,27,25,1,345,51,86,5,0.7991,11,10,452,0.6614,2,20,20,4,4,0.9682,0.754
2024-01-02,Agent_015,Agent_015,Billing,8.0,7.43,0.9333,0.8804,0,51,48,3,205,29,34,40,0.7069,12,10,416,0.6078,0,9,9,19,19,0.871,0.8164
2024-01-02,Agent_016,Agent_016,Tech Support,8.0,7.34,0.9058,0.7156,0,56,52,4,385,45,54,35,0.7818,9,8,543,0.55,0,16,17,5,4,0.902,0.7534
2024-01-02,Agent_017,Agent_017,Tech Support,9.0,8.45,0.9525,0.868,0,79,75,3,212,53,83,17,0.7133,10,9,336,0.5983,1,6,5,25,26,0.9067,0.8441
2024-01-02,Agent_018,Agent_018,Tech Support,7.0,6.62,0.9838,0.9093,0,68,65,1,228,38,67,19,0.7701,5,4,399,0.7156,0,15,12,21,24,0.8743,0.6629
2024-01-02,Agent_019,Agent_019,Tech Support,8.0,0.0,0.75,0.55,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0.0
2024-01-02,Agent_020,Agent_020,Tech Support,9.0,0.0,0.75,0.55,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0.0
2024-01-03,Agent_001,Agent_001,Support A,8.0,7.8,0.907,0.7295,0,41,37,3,422,25,69,24,0.8141,21,20,423,0.6494,2,11,10,5,6,0.9264,0.8445
2024-01-03,Agent_002,Agent_002,Support A,9.0,8.99,0.9447,0.7954,0,25,22,2,350,56,66,26,0.723,19,18,372,0.625,2,14,13,28,29,0.9207,0.864
2024-01-03,Agent_003,Agent_003,Support A,7.0,7.12,0.9296,0.9497,0,32,27,4,403,51,52,15,0.8548,8,7,346,0.6382,2,7,7,27,27,0.8237,0.7508
2024-01-03,Agent_004,Agent_004,Support A,8.0,7.32,0.9423,0.9072,0,47,43,4,272,22,61,17,0.8055,21,18,515,0.55,0,6,5,22,23,0.8615,0.7577
2024-01-03,Agent_005,Agent_005,Support A,8.0,0.0,0.75,0.55,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0.0
2024-01-03,Agent_006,Agent_006,Support B,8.0,8.07,0.9589,0.8552,0,27,25,0,346,50,28,42,0.6726,15,14,254,0.7857,0,10,8,0,2,0.9866,0.791
2024-01-03,Agent_007,Agent_007,Support B,8.0,7.28,0.8646,0.6639,0,77,72,3,274,10,46,5,0.8442,26,25,236,0.8504,1,21,20,28,29,0.902,0.8245
2024-01-03,Agent_008,Agent_008,Support B,8.0,7.81,0.9633,0.6615,0,36,31,3,249,38,32,25,0.7404,24,23,512,0.6024,1,11,9,11,13,0.99,0.8446
2024-01-03,Agent_009,Agent_009,Support B,8.0,7.21,0.9139,0.7718,0,71,66,4,306,55,1,19,0.7958,17,15,388,0.7215,0,18,17,17,18,0.8154,0.6913
2024-01-03,Agent_010,Agent_010,Support B,8.0,7.26,0.8538,0.7238,0,24,21,2,291,51,13,21,0.8007,18,16,320,0.7017,1,5,4,26,27,0.9732,0.8717
2024-01-03,Agent_011,Agent_011,Billing,8.0,8.03,0.9066,0.8861,0,56,52,4,230,30,27,18,0.7361,23,21,357,0.6505,2,13,10,1,4,0.8685,0.7095
2024-01-03,Agent_012,Agent_012,Billing,9.0,8.28,0.9737,0.8651,0,49,45,2,260,81,48,20,0.7166,18,17,488,0.5672,2,5,4,25,26,0.99,0.6806
2024-01-03,Agent_013,Agent_013,Billing,8.0,7.4,0.9795,0.8066,0,74,63,9,257,55,13,16,0.8402,8,7,474,0.5667,1,18,18,17,17,0.8235,0.7873
2024-01-03,Agent_014,Agent_014,Billing,8.0,7.36,0.9199,0.7432,0,61,58,1,216,42,1,30,0.8356,27,25,205,0.865,3,21,21,11,11,0.9001,0.6979
2024-01-03,Agent_015,Agent_015,Billing,9.0,0.0,0.75,0.55,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0.0
2024-01-03,Agent_016,Agent_016,Tech Support,7.0,6.87,0.923,0.9177,0,50,43,7,305,43,44,36,0.737,6,5,462,0.5579,0,12,10,16,18,0.9624,0.7543
2024-01-03,Agent_017,Agent_017,Tech Support,8.0,7.43,0.9151,0.9791,0,79,71,6,520,35,57,5,0.8095,18,15,347,0.643,0,12,9,21,24,0.9761,0.6987
2024-01-03,Agent_018,Agent_018,Tech Support,8.0,0.0,0.75,0.55,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0.0
2024-01-03,Agent_019,Agent_019,Tech Support,9.0,8.87,0.9784,0.7949,0,22,20,1,321,60,51,27,0.6944,23,20,463,0.5848,3,21,17,2,6,0.9295,0.7221
2024-01-03,Agent_020,Agent_020,Tech Support,6.0,5.94,0.9711,0.7938,0,41,35,5,380,23,24,34,0.7715,27,24,429,0.6503,2,5,4,20,21,0.8086,0.821
2024-01-04,Agent_001,Agent_001,Support A,7.0,6.93,0.9495,0.656,0,30,26,2,337,48,36,25,0.6818,9,7,309,0.8016,2,8,6,13,15,0.8843,0.836
2024-01-04,Agent_002,Agent_002,Support A,8.0,7.77,0.9102,0.8162,0,34,29,4,253,41,49,39,0.741,25,21,495,0.5513,1,13,13,10,10,0.8788,0.7335
2024-01-04,Agent_003,Agent_003,Support A,8.0,7.22,0.972,0.6772,0,37,31,4,395,34,58,9,0.8755,8,7,349,0.6369,2,13,13,19,19,0.8632,0.8655
2024-01-04,Agent_004,Agent_004,Support A,9.0,8.63,0.9263,0.7768,0,33,30,1,414,48,41,34,0.7685,8,7,467,0.5809,0,14,14,29,29,0.9735,0.8412
2024-01-04,Agent_005,Agent_005,Support A,8.0,7.74,0.9387,0.8258,0,71,65,5,263,47,18,16,0.8408,15,14,425,0.5723,2,19,16,25,28,0.8465,0.6667
2024-01-04,Agent_006,Agent_006,Support B,8.0,0.0,0.75,0.55,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0.0
2024-01-04,Agent_007,Agent_007,Support B,9.0,8.97,0.9525,0.8342,0,62,52,8,271,46,53,23,0.7275,20,18,347,0.5912,3,10,9,26,27,0.8869,0.8419
2024-01-04,Agent_008,Agent_008,Support B,7.0,6.94,0.9145,0.7464,0,23,21,2,239,39,47,17,0.8273,7,6,388,0.6598,1,16,15,0,1,0.986,0.6863
2024-01-04,Agent_009,Agent_009,Support B,8.0,7.74,0.9361,0.8328,0,65,57,7,309,45,55,5,0.887,16,13,412,0.649,3,10,10,29,29,0.9244,0.8658
2024-01-04,Agent_010,Agent_010,Support B,8.0,7.67,0.9265,0.6819,0,68,59,8,310,16,50,29,0.7744,23,22,241,0.7797,2,16,14,0,2,0.9716,0.7825
2024-01-04,Agent_011,Agent_011,Billing,8.0,7.2,0.9191,0.868,0,20,18,0,293,23,49,11,0.967,27,23,569,0.55,0,13,11,3,5,0.883,0.7519
2024-01-04,Agent_012,Agent_012,Billing,8.0,7.43,0.9061,0.7725,0,46,42,4,298,45,42,19,0.8619,26,24,376,0.6185,2,14,14,16,16,0.8934,0.6972
2024-01-04,Agent_013,Agent_013,Billing,9.0,8.55,0.9565,0.8313,0,68,64,2,408,51,60,21,0.7552,14,11,341,0.698,0,5,4,11,12,0.8926,0.785
2024-01-04,Agent_014,Agent_014,Billing,8.0,0.0,0.75,0.55,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0.0
2024-01-04,Agent_015,Agent_015,Billing,8.0,7.32,0.8992,0.8072,0,30,28,0,390,30,30,22,0.798,10,8,351,0.6884,1,7,6,17,18,0.7684,0.692
2024-01-04,Agent_016,Agent_016,Tech Support,8.0,7.69,0.901,0.939,0,76,71,3,408,53,36,34,0.7352,27,23,508,0.5512,2,21,19,11,13,0.774,0.8131
2024-01-04,Agent_017,Agent_017,Tech Support,7.0,7.14,0.9657,0.7874,0,49,47,1,300,37,51,35,0.7277,10,9,430,0.56,1,15,15,29,29,0.8947,0.8291
2024-01-04,Agent_018,Agent_018,Tech Support,8.0,7.59,0.9337,0.778,0,66,62,3,307,52,31,29,0.7122,27,25,288,0.6748,1,22,22,20,20,0.8889,0.8091
2024-01-04,Agent_019,Agent_019,Tech Support,9.0,8.26,0.8697,0.8489,0,26,22,4,400,31,53,12,0.8486,6,5,576,0.565,0,17,14,1,4,0.8573,0.7785
2024-01-04,Agent_020,Agent_020,Tech Support,8.0,0.0,0.75,0.55,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0.0
2024-01-05,Agent_001,Agent_001,Support A,8.0,7.32,0.8949,0.7196,0,74,65,7,318,74,80,30,0.8065,18,16,339,0.6846,2,16,13,7,10,0.8743,0.9126
2024-01-05,Agent_002,Agent_002,Support A,8.0,7.72,0.9302,0.8702,0,69,60,9,369,14,58,37,0.6603,5,4,293,0.6912,1,19,15,17,21,0.8862,0.749
2024-01-05,Agent_003,Agent_003,Support A,8.0,8.01,0.9228,0.796,0,77,70,6,363,58,55,28,0.7495,28,27,474,0.6176,1,18,15,6,9,0.9297,0.7741
2024-01-05,Agent_004,Agent_004,Support A,8.0,7.37,0.8885,0.8283,0,40,36,4,361,42,29,43,0.644,29,25,281,0.7458,2,7,7,16,16,0.8447,0.7145
2024-01-05,Agent_005,Agent_005,Support A,6.0,5.64,0.9138,0.7563,0,56,51,5,297,40,26,15,0.8815,15,13,321,0.7039,0,21,17,4,8,0.8646,0.7235
2024-01-05,Agent_006,Agent_006,Support B,8.0,8.11,0.8869,0.7748,0,44,40,4,315,41,65,16,0.7829,24,22,503,0.55,2,6,5,5,6,0.8506,0.7595
2024-01-05,Agent_007,Agent_007,Support B,8.0,7.36,0.9511,0.8203,0,33,31,1,326,55,45,25,0.7132,5,4,342,0.6256,0,22,22,19,19,0.8583,0.8354
2024-01-05,Agent_008,Agent_008,Support B,8.0,7.87,0.9697,0.8117,0,48,42,4,370,23,61,30,0.7703,5,4,379,0.55,0,16,13,7,10,0.9673,0.6925
2024-01-05,Agent_009,Agent_009,Support B,8.0,7.61,0.9617,0.87,0,39,37,0,444,27,46,28,0.6521,22,18,362,0.6568,2,12,11,27,28,0.9473,0.7573
2024-01-05,Agent_010,Agent_010,Support B,9.0,0.0,0.75,0.55,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0.0
2024-01-05,Agent_011,Agent_011,Billing,8.0,7.21,0.9325,0.8152,0,31,28,2,333,62,59,23,0.788,13,11,449,0.5989,0,16,16,23,23,0.8827,0.6328
2024-01-05,Agent_012,Agent_012,Billing,8.0,7.49,0.9891,0.7963,0,72,66,5,261,45,34,7,0.8834,9,8,566,0.55,1,6,5,15,16,0.8547,0.7788
2024-01-05,Agent_013,Agent_013,Billing,8.0,7.46,0.8335,0.8413,0,24,21,3,323,40,71,11,0.8459,12,10,443,0.55,0,21,21,16,16,0.9389,0.7555
2024-01-05,Agent_014,Agent_014,Billing,6.0,5.68,0.9313,0.7722,0,31,29,1,345,44,9,8,0.827,29,27,466,0.6207,3,19,19,7,7,0.9236,0.7811
2024-01-05,Agent_015,Agent_015,Billing,8.0,7.98,0.938,0.8721,0,26,24,0,235,40,73,28,0.7146,17,15,478,0.5671,2,20,16,22,26,0.8816,0.7091
2024-01-05,Agent_016,Agent_016,Tech Support,8.0,7.74,0.975,0.7551,0,77,66,11,327,36,17,26,0.7993,23,21,498,0.5637,2,19,18,0,1,0.8436,0.713
2024-01-05,Agent_017,Agent_017,Tech Support,7.0,6.86,0.9249,0.98,0,64,55,9,343,39,56,34,0.6929,8,7,455,0.62,0,17,14,19,22,0.8801,0.7319
2024-01-05,Agent_018,Agent_018,Tech Support,8.0,7.98,0.8914,0.8715,0,59,51,8,270,44,52,28,0.8113,9,8,418,0.7021,2,23,24,23,22,0.9829,0.7857
2024-01-05,Agent_019,Agent_019,Tech Support,7.0,6.63,0.9782,0.9273,0,51,48,2,365,51,45,30,0.6954,19,16,402,0.6165,0,24,25,19,18,0.8201,0.7452
2024-01-05,Agent_020,Agent_020,Tech Support,8.0,7.25,0.9539,0.7939,0,28,25,3,200,21,59,42,0.7277,16,13,406,0.565,0,22,19,12,15,0.967,0.8245
2024-01-06,Agent_001,Agent_001,Support A,7.0,6.64,0.9593,0.7957,0,79,74,3,349,42,47,35,0.6491,27,26,403,0.6193,1,7,6,3,4,0.9382,0.7783
2024-01-06,Agent_002,Agent_002,Support A,8.0,0.0,0.75,0.55,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0.0
2024-01-06,Agent_003,Agent_003,Support A,8.0,7.35,0.9446,0.7671,0,41,37,2,377,19,74,25,0.867,6,5,357,0.6823,0,20,16,29,33,0.963,0.7489
2024-01-06,Agent_004,Agent_004,Support A,8.0,7.67,0.921,0.9741,0,76,67,7,344,33,34,21,0.7777,24,20,307,0.7706,1,13,12,28,29,0.9006,0.7177
2024-01-06,Agent_005,Agent_005,Support A,8.0,7.61,0.9395,0.7236,0,23,22,0,258,22,12,16,0.7894,26,22,381,0.5963,3,10,10,7,7,0.9597,0.7688
2024-01-06,Agent_006,Agent_006,Support B,8.0,8.13,0.9193,0.6771,0,24,20,3,323,49,23,13,0.8447,19,17,481,0.637,1,14,12,21,23,0.9278,0.7371
2024-01-06,Agent_007,Agent_007,Support B,6.0,5.41,0.8903,0.7369,0,39,34,3,323,24,59,46,0.6895,5,4,518,0.55,1,6,5,15,16,0.9437,0.8106
2024-01-06,Agent_008,Agent_008,Support B,8.0,7.8,0.916,0.805,0,48,46,1,180,34,58,28,0.6394,12,10,544,0.5566,2,7,7,28,28,0.9556,0.6508
2024-01-06,Agent_009,Agent_009,Support B,8.0,8.03,0.9982,0.8009,0,68,63,3,367,39,27,20,0.8524,25,23,434,0.6205,3,11,10,13,14,0.8019,0.7843
2024-01-06,Agent_010,Agent_010,Support B,8.0,7.58,0.9069,0.769,0,41,35,5,436,60,55,47,0.6541,25,24,350,0.7503,4,15,13,5,7,0.8517,0.7797
2024-01-06,Agent_011,Agent_011,Billing,8.0,7.95,0.9198,0.7166,0,74,66,6,342,60,30,5,0.8261,20,19,399,0.7067,4,11,10,16,17,0.8757,0.7269
2024-01-06,Agent_012,Agent_012,Billing,8.0,7.5,0.9227,0.7651,0,55,51,4,310,37,44,23,0.7565,13,11,290,0.6605,1,19,15,18,22,0.8568,0.6731
2024-01-06,Agent_013,Agent_013,Billing,8.0,7.78,0.8787,0.8496,0,70,64,5,514,44,46,27,0.721,19,16,505,0.55,1,21,22,5,4,0.8292,0.8475
2024-01-06,Agent_014,Agent_014,Billing,8.0,7.68,0.9717,0.8467,0,78,66,11,277,42,40,26,0.7211,21,19,421,0.6797,2,11,8,7,10,0.99,0.7583
2024-01-06,Agent_015,Agent_015,Billing,8.0,7.97,0.9024,0.9036,0,32,28,2,313,54,5,22,0.9008,16,14,431,0.6147,2,21,17,19,23,0.9425,0.8168
2024-01-06,Agent_016,Agent_016,Tech Support,8.0,8.0,0.8934,0.893,0,74,66,7,376,56,43,31,0.6679,16,14,377,0.6756,0,13,13,13,13,0.8792,0.8376
2024-01-06,Agent_017,Agent_017,Tech Support,7.0,6.49,0.8982,0.5927,0,39,35,3,310,17,73,23,0.7787,19,16,591,0.55,0,19,18,29,30,0.9668,0.8806
2024-01-06,Agent_018,Agent_018,Tech Support,8.0,7.8,0.9312,0.8303,0,63,54,9,468,41,32,23,0.8259,28,25,438,0.6829,3,8,7,8,9,0.8719,0.6941
2024-01-06,Agent_019,Agent_019,Tech Support,8.0,8.14,0.8844,0.8161,0,51,46,4,377,23,53,18,0.845,11,10,404,0.661,1,11,9,1,3,0.8363,0.8926
2024-01-06,Agent_020,Agent_020,Tech Support,8.0,0.0,0.75,0.55,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0.0
2024-01-07,Agent_001,Agent_001,Support A,8.0,7.94,0.9741,0.8063,0,75,68,7,428,41,101,27,0.7455,22,20,469,0.6665,2,14,11,3,6,0.8625,0.8139
2024-01-07,Agent_002,Agent_002,Support A,7.0,0.0,0.75,0.55,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0.0
2024-01-07,Agent_003,Agent_003,Support A,9.0,8.29,0.9182,0.7062,0,76,72,4,389,58,22,24,0.7923,29,26,500,0.55,3,16,13,4,7,0.99,0.8871
2024-01-07,Agent_004,Agent_004,Support A,8.0,8.07,0.8744,0.8295,0,27,24,2,408,50,79,22,0.6886,15,12,339,0.6374,1,18,17,10,11,0.8509,0.773
2024-01-07,Agent_005,Agent_005,Support A,8.0,7.4,0.8893,0.8088,0,36,33,1,252,36,20,5,0.8612,13,12,327,0.6951,0,8,8,8,8,0.8499,0.7181
2024-01-07,Agent_006,Agent_006,Support B,7.0,6.73,0.9769,0.7182,0,62,59,1,180,30,69,18,0.8139,21,19,452,0.5628,1,14,13,29,30,0.8424,0.7329
2024-01-07,Agent_007,Agent_007,Support B,8.0,7.76,0.938,0.7583,0,74,70,2,354,51,56,21,0.7919,23,20,430,0.6422,2,5,4,11,12,0.9212,0.7874
2024-01-07,Agent_008,Agent_008,Support B,8.0,8.11,0.8782,0.9014,0,58,51,7,180,47,60,23,0.7157,5,4,391,0.6992,0,19,19,20,20,0.9316,0.8675
2024-01-07,Agent_009,Agent_009,Support B,8.0,7.43,0.9333,0.7167,0,70,67,1,288,47,74,21,0.9026,21,20,437,0.5675,2,8,7,27,28,0.8467,0.8102
2024-01-07,Agent_010,Agent_010,Support B,8.0,7.68,0.9372,0.9062,0,68,59,7,445,29,38,48,0.6387,24,23,571,0.55,2,13,10,17,20,0.7816,0.8368
2024-01-07,Agent_011,Agent_011,Billing,8.0,7.36,0.9397,0.98,0,77,65,10,387,30,60,9,0.8749,11,9,466,0.55,1,23,24,10,9,0.9562,0.8584
2024-01-07,Agent_012,Agent_012,Billing,7.0,6.87,0.8673,0.9568,0,48,41,6,326,39,66,20,0.7623,23,22,516,0.55,0,14,12,28,30,0.8599,0.8514
2024-01-07,Agent_013,Agent_013,Billing,8.0,7.61,0.8727,0.8394,0,47,40,5,279,30,44,19,0.7657,16,15,566,0.55,1,10,10,4,4,0.8819,0.7432
2024-01-07,Agent_014,Agent_014,Billing,8.0,8.04,0.9149,0.7474,0,46,39,6,184,33,50,27,0.7504,5,4,438,0.55,0,15,16,16,15,0.8451,0.7177
2024-01-07,Agent_015,Agent_015,Billing,8.0,7.94,0.9657,0.722,0,51,46,5,377,32,51,35,0.6354,6,5,253,0.7703,0,22,18,26,30,0.8316,0.8089
2024-01-07,Agent_016,Agent_016,Tech Support,8.0,7.59,0.92,0.8056,0,62,53,9,380,27,55,24,0.7817,27,24,454,0.5828,1,19,17,23,25,0.932,0.8886
2024-01-07,Agent_017,Agent_017,Tech Support,7.0,6.44,0.8936,0.8669,0,53,48,5,278,58,56,35,0.7213,7,6,440,0.6293,0,15,14,13,14,0.8092,0.811
2024-01-07,Agent_018,Agent_018,Tech Support,6.0,5.57,0.9415,0.6956,0,67,62,5,362,17,24,30,0.6666,9,8,604,0.55,0,16,14,29,31,0.9723,0.7914
2024-01-07,Agent_019,Agent_019,Tech Support,7.0,6.82,0.9487,0.7495,0,25,22,1,280,72,55,23,0.7493,10,8,343,0.6582,0,10,10,22,22,0.9413,0.6914
2024-01-07,Agent_020,Agent_020,Tech Support,9.0,8.67,0.9042,0.7433,0,71,63,8,319,35,56,27,0.6839,28,24,348,0.6445,0,7,7,15,15,0.836,0.8105
2024-01-08,Agent_001,Agent_001,Support A,9.0,8.82,0.906,0.9432,0,57,54,2,416,22,48,18,0.7628,8,7,457,0.637,0,19,19,14,14,0.8362,0.872
2024-01-08,Agent_002,Agent_002,Support A,8.0,7.73,0.9358,0.8775,0,38,32,4,305,18,54,31,0.7957,25,23,441,0.5779,0,12,12,13,13,0.99,0.8241
2024-01-08,Agent_003,Agent_003,Support A,8.0,7.97,0.9934,0.8722,0,65,60,3,325,34,49,9,0.8711,29,26,488,0.55,1,23,18,2,7,0.8374,0.7903
2024-01-08,Agent_004,Agent_004,Support A,6.0,0.0,0.75,0.55,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0.0
2024-01-08,Agent_005,Agent_005,Support A,8.0,7.62,0.9451,0.8645,0,64,60,3,266,40,49,31,0.7657,12,11,387,0.6028,1,13,12,28,29,0.8665,0.7278
2024-01-08,Agent_006,Agent_006,Support B,9.0,9.13,0.8976,0.8179,0,25,22,3,267,48,46,30,0.7302,29,27,378,0.7015,3,14,12,21,23,0.8546,0.7978
2024-01-08,Agent_007,Agent_007,Support B,8.0,8.1,0.9085,0.9325,0,45,40,5,406,16,61,28,0.8121,16,15,345,0.6369,0,23,21,27,29,0.821,0.9426
2024-01-08,Agent_008,Agent_008,Support B,7.0,7.07,0.9225,0.9256,0,30,28,2,436,17,63,26,0.7549,6,5,448,0.6311,1,17,14,7,10,0.8293,0.7559
